,Sentences
16754,6.
16755,5    Grease traps    A dedicated above-ground gravity drainage system  shall be provided to drain wastewater flows from food  production kitchen areas within a building.
16756, The system  shall connect to a grease trap (see Figure H.
16757,22).
16758,    Grease traps shall conform to BS EN 1825-1 or  equivalent.
16759," Except for residential buildings, design  proposals for grease traps shall be submitted to the  Authority  for approval."
16760,    All discharge stacks that serve food production kitchen  areas shall terminate externally to enable each stack to  safely vent to atmosphere.
16761,    Grease traps shall be positioned external to the  building in locations that facilitate vacuum tanker  access.
16762,    04    06    03    05    970    25    07    07    02    01    60    670    460    09    150    12    2  0  0    1  6  0    1  5  0    1  6  0    9  7  0    Figure H.
16763,22 Typical kitchen grease trap connection detail    Key  01: Dimension varies to suit  requirement  02: 5 mm THK.
16764," neoprene gasket  03: 10 × 40 brass nut/bolt  04: Ductile heavy duty manhole  cover  05: 1,070 mm × 815 mm × 15  mm THK."
16765, GRP sealed cover  06: 55ø (50 mm) air vent  07: Lifting handle  08: 110ø outlet pipe  09: Two bucket 460 mm deep  removeable PVC perforated  bucket with 25ø holes in four  rows each side  10: 55ø holes in three rows 8  nos.
16766, in each row  11: 100ø PVC pipe  12: Support for bucket seating    08    01    11    10    630    H 74    Dubai Building Code    Part H: Indoor environment     H.
16767,6.
16768,6    Oil interceptors    Oil interceptors shall be provided for vehicle washing and service stations  (see Figure H.
16769,23).
16770,    Oil separators shall be designed in accordance with BS EN 752 and BS EN 8588.
16771,"  They shall be installed in a location that allows easy access for a vacuum tanker,  to aid regular emptying."
16772,    Oil separators shall have:    a) a dedicated vent pipe and cable duct connection; and    b) a control panel with an audible alarm that indicates when the separator requires    emptying.
16773,    Oil separator access covers shall be suitable for the wheel loads to which they  are subjected and for their surrounding floor or road finishes.
16774,"    2  5  0    200    9  5  0    03    02    04    05    01    3  0  0    2  0  0    9  0  0    ,    1  4  0  0    1,800 - 2,000    Figure H."
16775,23 Typical oil separator detail    Key  01: Oil  02: Small dam  03: 2 × 600 × 600 cast iron heavy duty cover  04: Fire hose coupling (type C)  05: Oil drainage unit    H 75    Dubai Building Code    Part H: Indoor environment     H.
16776,6.
16777,7    Swimming pools    H.
16778,6.
16779,9    Above- and below-ground drainage testing    Drainage for swimming pools and backwash pumps shall be shown on separate  drainage layout plans.
16780,"    For swimming pools on the roof or upper floors, a separate 100 mm diameter drain  (after the backwash regulating valve) shall be installed to the ground floor manhole  connection."
16781, This drain shall not connect to a basement sump pump.
16782,    Backwash drainage flows from the pool filtration system shall discharge  unattenuated into the public drainage system where this is approved by the  Authority.
16783," If approval for an unattenuated discharge cannot be obtained, backwash  water shall discharge into an attenuation tank to enable a reduced drainage flow rate  to the public drainage system."
16784,    All drainage systems shall be tested with air or water to verify that the systems  do not have any defects.
16785, All drainage test certification shall be submitted to the  Authority for review and approval.
16786,    All drainage systems shall be tested as soon as practicable after installation.
16787," Interim  and final test certificates shall be of an agreed format, which shall give full details of  the site, system, location, type of test and witnesses, together with signatures and  test dates."
16788,"    Unless more stringent testing is requested by the Authority or another party, the  following procedures shall be used for above-ground drainage systems."
16789,    a) Pipes shall be interim tested using an air pressure of 100 mm water gauge held    Architectural safety features for pools are discussed in B.
16790,8.
16791,3.
16792,2.
16793,2.
16794,    constant for 5 min.
16795,    H.
16796,6.
16797,"8    Provisions for future connection    Within all buildings, waste and vent pipe connections shall be provided to all areas  of possible future fit-out, including, but not limited to, retail units, office  or administrative areas, food production and sport and leisure facilities."
16798,"    b) If the system fails the test, any faults shall be rectified, and the test repeated until    a satisfactory test result has been achieved."
16799,"    c) On completion of installation and connection of sanitary appliances, a final air    test shall be made, using an air pressure of 50 mm water gauge held constant for  5 min."
16800,"    For below-ground drainage systems, unless more stringent testing is requested by  the Authority or another party, testing shall be undertaken using air or water in  accordance with BS EN 1610."
16801,    H 76    Dubai Building Code    Part H: Indoor environment     H.
16802,6.
16803,"10    Septic tank and sewage holding tanks    Where there is no public drainage network available, the building shall be provided  with a sewage holding tank."
16804, Septic tanks shall be utilized only for remote building  locations that are expected to generate low foul water flow rates.
16805,    Septic tanks and sewage holding tanks shall meet the following requirements.
